BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log,Embedding_Time,Regression_Time,Total_Time
GradientBoosting,Raw,,,,,,0.9936704795439447,0.07156270833677007,0.974,426.680424171078,0.004047781942340373,0,1.6397628784179688,1.6397628784179688
RandomForest,Raw,,,,,,0.9931901211615293,0.02179278777263831,0.991,442.57513119629976,0.0015750553918802525,0,6.2343690395355225,6.2343690395355225
