BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log,Embedding_Time,Regression_Time,Total_Time
GradientBoosting,Raw,,,,,,0.7867993259399797,0.21075316357051863,0.6066536203522505,54214.652720339254,0.013022042896059958,0,3.93310284614563,3.93310284614563
RandomForest,Raw,,,,,,0.8384390474927657,0.16590272194865144,0.7274951076320939,47194.413782685435,0.009367250413837232,0,16.933847665786743,16.933847665786743
