Embedding_Size,Embedding_Time,Total_Pipeline_Time,Regression_Time
2,34.052597761154175,34.07051682472229,16.86964383125305
5,31.017460823059082,31.017460823059082,22.701928281784056
10,30.01480460166931,30.018914937973022,32.70367360115051
20,29.921035528182983,29.92890477180481,52.662958240509035
