BaseModel,Method,EmbeddingDim,NumWalks,WalkLength,p,q,R2,MAPE,ACC,RMSE,MSE_log,Embedding_Time,Regression_Time,Total_Time
GradientBoosting,Raw,,,,,,0.7893501680435817,0.20603324473921064,0.6188845401174168,53889.350831003445,0.012649712980917445,0,6.277612686157227,6.277612686157227
RandomForest,Raw,,,,,,0.839152270654204,0.16581123953428994,0.7348336594911937,47090.12688808938,0.0094942707313557,0,24.850075483322144,24.850075483322144
